1435449885	10943	opening	1	1	1	0	0	1	1	1	1	
1435449885	367129	moving	1	0	1	1	0	1	1	1	1	
1435449887	11121	closing	0	1	1	1	0	1	1	1	0	
1435449887	407861	moving	0	1	1	1	1	1	0	1	0	
1435449898	465935	opening	0	1	1	1	1	1	1	0	1	
1435449898	885167	moving	0	1	1	1	1	0	1	1	1	
1435449901	466248	closing	0	1	1	1	0	1	1	1	0	
1435449901	902968	moving	1	1	0	1	0	1	1	1	0	
1435456067	695109	opening	1	1	1	0	0	1	1	1	1	
1435456068	53754	moving	1	0	1	1	0	1	1	1	1	
1435456072	695602	closing	0	1	1	1	0	1	1	1	0	
1435456073	92748	moving	0	1	1	1	1	1	0	1	0	
1435456122	50810	opening	0	1	1	1	1	1	1	0	1	
1435456122	491297	moving	0	1	1	1	1	0	1	1	1	
1435456124	51028	closing	0	1	1	1	0	1	1	1	0	
1435456124	486126	moving	1	1	0	1	0	1	1	1	0	
1435465184	684709	opening	1	1	1	0	0	1	1	1	1	
1435465185	72820	moving	1	0	1	1	0	1	1	1	1	
1435465189	685229	closing	0	1	1	1	0	1	1	1	0	
1435465190	89488	moving	0	1	1	1	1	1	0	1	0	
1435465200	707005	opening	0	1	1	1	1	1	1	0	1	
1435465201	52443	moving	0	1	1	1	1	0	1	1	1	
1435465205	707579	closing	0	1	1	1	0	1	1	1	0	
1435465206	113451	moving	1	1	0	1	0	1	1	1	0	
1435465216	532118	opening	1	1	1	0	0	1	1	1	1	
1435465216	919699	moving	1	0	1	1	0	1	1	1	1	
1435465221	532581	closing	0	1	1	1	0	1	1	1	0	
1435465221	937774	moving	0	1	1	1	1	1	0	1	0	
1435465232	354100	opening	0	1	1	1	1	1	1	0	1	
1435465232	709332	moving	0	1	1	1	1	0	1	1	1	
1435465252	356198	closing	0	1	1	1	0	1	1	1	0	
1435465252	762060	moving	1	1	0	1	0	1	1	1	0	
1435465264	776628	opening	1	1	1	0	0	1	1	1	1	
1435465265	163750	moving	1	0	1	1	0	1	1	1	1	
1435465284	778700	closing	0	1	1	1	0	1	1	1	0	
1435465285	184655	moving	0	1	1	1	1	1	0	1	0	
1435465296	195947	opening	0	1	1	1	1	1	1	0	1	
1435465296	547352	moving	0	1	1	1	1	0	1	1	1	
1435465316	198030	closing	0	1	1	1	0	1	1	1	0	
1435465316	602792	moving	1	1	0	1	0	1	1	1	0	
1435465330	44028	opening	1	1	1	0	0	1	1	1	1	
1435465330	431988	moving	1	0	1	1	0	1	1	1	1	
1435465370	48223	closing	0	1	1	1	0	1	1	1	0	
1435465370	452627	moving	0	1	1	1	1	1	0	1	0	
1435465380	647298	opening	0	1	1	1	1	1	1	0	1	
1435465380	995137	moving	0	1	1	1	1	0	1	1	1	
