1435330126	opening	1	1	1	0	0	1	1	1	1	
1435330126	moving	1	0	1	1	0	1	1	1	1	
1435330128	closing	0	1	1	1	0	1	1	1	0	
1435330129	moving	0	1	1	1	1	1	0	1	0	
1435330130	opening	0	1	1	1	1	1	1	0	0	
1435330131	moving	0	1	1	1	1	0	1	1	1	
1435330132	closing	0	1	1	1	0	1	1	1	0	
1435330132	moving	1	1	0	1	0	1	1	1	0	
1435330133	opening	1	1	1	0	0	1	1	1	1	
1435330134	moving	1	0	1	1	0	1	1	1	1	
1435330135	opening	0	1	1	1	0	1	1	1	1	
1435330135	closing	0	1	1	1	0	1	1	1	0	
1435330136	moving	0	1	1	1	1	1	0	1	0	
1435330136	closing	0	1	1	1	1	1	1	0	1	
1435330137	closing	0	1	1	1	1	1	1	0	0	
1435330138	opening	0	1	1	1	1	1	1	0	1	
1435330138	moving	0	1	1	1	1	0	1	1	1	
1435330140	opening	0	1	1	1	0	1	1	1	1	
1435330141	closing	0	1	1	1	0	1	1	1	0	
1435330141	moving	1	1	0	1	0	1	1	1	0	
1435330142	opening	1	1	1	0	0	1	1	1	1	
1435330143	moving	1	0	1	1	0	1	1	1	1	
1435330143	closing	0	1	1	1	0	1	1	1	0	
1435330144	moving	0	1	1	1	1	1	0	1	0	
1435330145	opening	0	1	1	1	1	1	1	0	1	
1435330145	moving	0	1	1	1	1	0	1	1	1	
1435330146	closing	0	1	1	1	0	1	1	1	0	
1435330146	moving	1	1	0	1	0	1	1	1	0	
1435330149	opening	1	1	1	0	0	1	1	1	1	
1435330251	opening	1	1	1	0	0	1	1	1	1	
1435330252	moving	1	0	1	1	0	1	1	1	1	
1435330253	closing	0	1	1	1	0	1	1	1	0	
1435330253	moving	0	1	1	1	1	1	0	1	0	
1435330255	opening	0	1	1	1	1	1	1	0	1	
1435330255	moving	0	1	1	1	1	0	1	1	1	
1435330256	closing	0	1	1	1	0	1	1	1	0	
1435330257	moving	1	1	0	1	0	1	1	1	0	
1435330261	opening	1	1	1	0	0	1	1	1	1	
